3.43	3.38E-13	-4.60E-05	6.50E-05	3.99E-04	-8.29E-05
3.432	3.18E-13	-4.32E-05	6.11E-05	3.75E-04	-7.79E-05
3.434	2.94E-13	-4.00E-05	5.65E-05	3.46E-04	-7.20E-05
3.436	2.66E-13	-3.62E-05	5.12E-05	3.14E-04	-6.52E-05
3.438	2.35E-13	-3.20E-05	4.53E-05	2.78E-04	-5.76E-05
3.44	2.02E-13	-2.74E-05	3.88E-05	2.38E-04	-4.94E-05
3.442	1.65E-13	-2.25E-05	3.19E-05	1.95E-04	-4.05E-05
3.444	1.26E-13	-1.73E-05	2.45E-05	1.50E-04	-3.11E-05
3.446	8.55E-14	-1.19E-05	1.68E-05	1.03E-04	-2.13E-05
3.448	4.35E-14	-6.32E-06	8.94E-06	5.48E-05	-1.13E-05
3.45	8.07E-16	-6.57E-07	9.29E-07	5.70E-06	-1.08E-06
3.452	-4.21E-14	5.01E-06	-7.09E-06	-4.34E-05	9.14E-06
3.454	-8.46E-14	1.06E-05	-1.50E-05	-9.20E-05	1.92E-05
3.456	-1.26E-13	1.61E-05	-2.27E-05	-1.39E-04	2.91E-05
3.458	-1.66E-13	2.13E-05	-3.01E-05	-1.85E-04	3.85E-05
3.46	-2.04E-13	2.63E-05	-3.71E-05	-2.27E-04	4.74E-05
3.462	-2.39E-13	3.08E-05	-4.36E-05	-2.67E-04	5.56E-05
3.464	-2.71E-13	3.49E-05	-4.94E-05	-3.03E-04	6.31E-05
3.466	-2.99E-13	3.86E-05	-5.45E-05	-3.34E-04	6.96E-05
3.468	-3.22E-13	4.16E-05	-5.89E-05	-3.61E-04	7.51E-05
3.47	-3.41E-13	4.41E-05	-6.23E-05	-3.82E-04	7.95E-05
3.472	-3.55E-13	4.58E-05	-6.48E-05	-3.97E-04	8.27E-05
3.474	-3.64E-13	4.69E-05	-6.64E-05	-4.07E-04	8.46E-05
3.476	-3.67E-13	4.73E-05	-6.69E-05	-4.10E-04	8.53E-05
3.478	-3.65E-13	4.70E-05	-6.64E-05	-4.07E-04	8.46E-05
3.48	-3.56E-13	4.59E-05	-6.49E-05	-3.97E-04	8.26E-05
3.482	-3.42E-13	4.41E-05	-6.23E-05	-3.82E-04	7.94E-05
3.484	-3.23E-13	4.15E-05	-5.87E-05	-3.60E-04	7.48E-05
3.486	-2.98E-13	3.84E-05	-5.42E-05	-3.32E-04	6.91E-05
3.488	-2.68E-13	3.46E-05	-4.89E-05	-2.99E-04	6.22E-05
3.49	-2.34E-13	3.02E-05	-4.27E-05	-2.62E-04	5.43E-05
3.492	-1.96E-13	2.53E-05	-3.58E-05	-2.19E-04	4.55E-05
3.494	-1.54E-13	2.00E-05	-2.83E-05	-1.73E-04	3.60E-05
3.496	-1.10E-13	1.44E-05	-2.04E-05	-1.25E-04	2.58E-05
3.498	-6.33E-14	8.51E-06	-1.20E-05	-7.38E-05	1.52E-05
3.5	-1.56E-14	2.49E-06	-3.53E-06	-2.16E-05	4.38E-06
3.502	3.26E-14	-3.57E-06	5.05E-06	3.09E-05	-6.55E-06
3.504	8.03E-14	-9.57E-06	1.35E-05	8.29E-05	-1.74E-05
3.506	1.27E-13	-1.54E-05	2.18E-05	1.33E-04	-2.79E-05
3.508	1.71E-13	-2.10E-05	2.96E-05	1.82E-04	-3.79E-05
3.51	2.12E-13	-2.61E-05	3.70E-05	2.27E-04	-4.72E-05
3.512	2.50E-13	-3.09E-05	4.36E-05	2.67E-04	-5.57E-05
3.514	2.83E-13	-3.50E-05	4.95E-05	3.03E-04	-6.32E-05
3.516	3.11E-13	-3.85E-05	5.44E-05	3.34E-04	-6.95E-05
3.518	3.34E-13	-4.13E-05	5.84E-05	3.58E-04	-7.45E-05
3.52	3.50E-13	-4.33E-05	6.12E-05	3.75E-04	-7.81E-05
3.522	3.60E-13	-4.45E-05	6.29E-05	3.86E-04	-8.02E-05
3.524	3.63E-13	-4.48E-05	6.34E-05	3.89E-04	-8.08E-05
3.526	3.58E-13	-4.43E-05	6.27E-05	3.84E-04	-7.99E-05
3.528	3.47E-13	-4.30E-05	6.08E-05	3.72E-04	-7.74E-05
3.53	3.29E-13	-4.08E-05	5.77E-05	3.53E-04	-7.34E-05
3.532	3.05E-13	-3.78E-05	5.34E-05	3.27E-04	-6.80E-05
3.534	2.74E-13	-3.40E-05	4.81E-05	2.95E-04	-6.13E-05
3.536	2.38E-13	-2.96E-05	4.19E-05	2.57E-04	-5.33E-05
3.538	1.97E-13	-2.46E-05	3.48E-05	2.13E-04	-4.42E-05
3.54	1.52E-13	-1.91E-05	2.70E-05	1.65E-04	-3.43E-05
3.542	1.04E-13	-1.32E-05	1.86E-05	1.14E-04	-2.36E-05
3.544	5.34E-14	-7.01E-06	9.92E-06	6.08E-05	-1.25E-05
3.546	1.61E-15	-7.00E-07	9.90E-07	6.07E-06	-1.14E-06
3.548	-5.04E-14	5.63E-06	-7.96E-06	-4.88E-05	1.03E-05
3.55	-1.01E-13	1.18E-05	-1.67E-05	-1.03E-04	2.15E-05
3.552	-1.50E-13	1.78E-05	-2.52E-05	-1.54E-04	3.22E-05
3.554	-1.96E-13	2.34E-05	-3.31E-05	-2.03E-04	4.23E-05
3.556	-2.38E-13	2.85E-05	-4.03E-05	-2.47E-04	5.14E-05
3.558	-2.75E-13	3.29E-05	-4.66E-05	-2.85E-04	5.95E-05
3.56	-3.06E-13	3.67E-05	-5.19E-05	-3.18E-04	6.62E-05
3.562	-3.30E-13	3.97E-05	-5.61E-05	-3.44E-04	7.15E-05
3.564	-3.48E-13	4.18E-05	-5.91E-05	-3.62E-04	7.53E-05
3.566	-3.57E-13	4.29E-05	-6.07E-05	-3.72E-04	7.74E-05
3.568	-3.59E-13	4.32E-05	-6.10E-05	-3.74E-04	7.78E-05
3.57	-3.53E-13	4.24E-05	-6.00E-05	-3.68E-04	7.64E-05
3.572	-3.38E-13	4.07E-05	-5.76E-05	-3.53E-04	7.34E-05
3.574	-3.16E-13	3.81E-05	-5.39E-05	-3.30E-04	6.86E-05
3.576	-2.87E-13	3.46E-05	-4.90E-05	-3.00E-04	6.23E-05
3.578	-2.51E-13	3.04E-05	-4.29E-05	-2.63E-04	5.46E-05
3.58	-2.09E-13	2.54E-05	-3.59E-05	-2.20E-04	4.57E-05
3.582	-1.63E-13	1.98E-05	-2.81E-05	-1.72E-04	3.56E-05
3.584	-1.12E-13	1.38E-05	-1.96E-05	-1.20E-04	2.48E-05
3.586	-5.89E-14	7.49E-06	-1.06E-05	-6.49E-05	1.34E-05
3.588	-4.18E-15	9.70E-07	-1.37E-06	-8.41E-06	1.62E-06
3.59	5.08E-14	-5.57E-06	7.88E-06	4.82E-05	-1.02E-05
3.592	1.05E-13	-1.20E-05	1.69E-05	1.04E-04	-2.17E-05
3.594	1.56E-13	-1.81E-05	2.56E-05	1.57E-04	-3.27E-05
3.596	2.04E-13	-2.38E-05	3.36E-05	2.06E-04	-4.30E-05
3.598	2.47E-13	-2.89E-05	4.09E-05	2.50E-04	-5.22E-05
3.6	2.84E-13	-3.33E-05	4.71E-05	2.88E-04	-6.01E-05
